,claim,link,source,truth
30,Myth: Red eyes mean you have coronavirus,https://www.covid-19facts.com/?p=84050,"The Mail Online story was based on an interview with a nurse treating patients at a care home in Washington State broadcast by CNN on March 24. The nurse said: “It’s something that I witnessed in all of them (the patients). They have, like … allergy eyes.”","The NHS continues to state that symptoms of coronavirus infection to look out for are a high temperature and a new, continuous cough. The World Health Organization says: “The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhoea.”"
31,Myth: Vaccination against pneumonia might protect you from coronavirus,https://www.covid-19facts.com/?p=84042,"This claim has been swirling around for some weeks on social media and chat forums. Recently an American specialist in children’s infectious diseases discussed the claim on a YouTube video. She says we don’t yet know if it could help prevent complications of coronavirus, but that older people who would usually get the vaccine should continue to do so.","The World Health Organization states clearly that vaccines against pneumonia don’t protect against COVID-19. It points out that this infection is completely new, and needs a completely novel type of vaccine. Urgent research work is underway to find one."
32,Does air pollution increase deaths from COVID-19?,https://www.covid-19facts.com/?p=84038,"The Guardian and several other media outlets reported the study, which was released on the 5th April by the Harvard TH Chan School of Public Health. Prior to this report, the European Public Health Alliance warned in March that air pollution was likely to increase complications or deaths from COVID-19.","The WHO has not commented on links between air pollution and COVID-19 deaths. However, in 2014 the organisation said that air pollution may cause 7 million premature deaths annually worldwide, contributing to deaths from cardiovascular disease, respiratory disease (including acute respiratory infections such as SARS and COVID-19) and cancer."
33,Myth: 5G is causing the coronavirus pandemic,https://www.covid-19facts.com/?p=84010,The Sun reported that there are posts on YouTube misinforming people that 5G WiFi is causing the coronavirus outbreak.,"The WHO state that to date “no adverse health effect has been causally linked with exposure to wireless technologies” although “so far, only a few studies have been carried out at the frequencies to be used by 5G.” They add that no consequences for public health are anticipated from these frequencies."
34,Does losing your sense of smell mean you have coronavirus?,https://www.covid-19facts.com/?p=84002,"There has been widespread media coverage of claims that loss of smell or taste is signs of coronavirus infection. Many of these reported a statement from ENT UK, a professional body representing doctors working in ear, nose and throat specialities in the UK. The statement discussed the evidence and suggested that patients with loss of smell could also be asked to self-isolate.","The World Health Organization says: “The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhoea.” Loss of smell is not mentioned."
35,"Myth: Drinking hot water, or gargling, can prevent coronavirus infection",https://www.covid-19facts.com/?p=83990,The New York Times reported that there are many posts on social media asking about gargling as a protective measure.,"Harvard TH Chan School of Public Health says: “There is no evidence that regularly gargling has protected people from infection with the new coronavirus. While this may help soothe a sore throat, this practice will not prevent the virus from entering your lungs—neither will drinking frequent sips of water.”"
36,Myth: Taking a sauna or hot bath can kill coronavirus,https://www.covid-19facts.com/?p=83981,Some sauna manufacturers have made claims that saunas can protect against COVID-19. Manufacturers are unlikely to be reliable sources of information as they have a vested interest in persuading people of the benefits.,"The World Health Organisation says: “Taking a hot bath will not prevent you from catching COVID-19. Your normal body temperature remains around 36.5°C to 37°C, regardless of the temperature of your bath or shower. Actually, taking a hot bath with extremely hot water can be harmful, as it can burn you.”"
37,Are you at risk of catching coronavirus from handling home deliveries?,https://www.covid-19facts.com/?p=83945,"Since the start of the novel coronavirus outbreak people have been concerned about the risks from packages. Initially concerns centred on packages coming from areas where the infection had first taken hold such as China, but as the virus is now more widespread so are the concerns.","The WHO reports that studies suggest that coronaviruses may persist on surfaces for between a few hours and several days, and that this may vary based on factors like the type of surface, or temperature and humidity of the environment. They say that there is both a low chance of commercial goods being contaminated by an infected person and or catching the virus off of a package that has been moved, travelled, and been exposed to different conditions and temperature."
38,Do people with blood group A have a higher risk of coronavirus infection?,https://www.covid-19facts.com/?p=83917,"The story first surfaced in the South China Morning Post, which reported on 17 March that “People with blood type A may be more vulnerable to infection by the new coronavirus, while those with type O seem more resistant.”",The WHO and NHS have not commented on the paper.
39,Myth: Anti-malarial drugs can cure coronavirus,https://www.covid-19facts.com/?p=83912,"There have been widespread reports in the media and social media about chloroquine being effective against coronavirus. It makes sense to trial existing drugs, which have been used for other conditions, when looking for ways to treat new viruses.","The World Health Organisation’s guidance on management of COVID-19 says that there is no current evidence to recommend any specific anti-COVID-19 treatment for patients with confirmed COVID-19. It recommends investigational anti-COVID-19 therapeutics are used in ethically approved, randomised, controlled trials."
40,Is breastfeeding safe?,https://www.covid-19facts.com/?p=83878,"Many news articles have covered the risks of coronavirus in pregnancy, questioning whether pregnant women are at greater risk of catching the disease or being more severely affected and whether breastfeeding is safe for the babies of mothers with the infection.","UK guidance from the Royal College of Obstetricians & Gynaecologists (RCOG) says that women with coronavirus can breastfeed. It says that there is no evidence showing that the virus can be carried in breastmilk, and the well-recognised benefits of breastfeeding outweigh any potential risks of transmission of coronavirus through breastmilk."
41,Myth: The coronavirus pandemic will slow down this summer because of the heat,https://www.covid-19facts.com/?p=83865,Multiple social media sources accounts and commentators have amplified this story in both positive and negative ways.,"The World Health Organization noted that the COVID-19 virus can be transmitted in all areas, including those with hot and humid weather."
42,Myth: Pet cats and dogs are spreading coronavirus,https://www.covid-19facts.com/?p=83860,"At the end of February, the Hong Kong government’s Agriculture, Fisheries and Conservation Department reported that the pet dog of a patient with COVID-19 had tested positive for coronavirus in Hong Kong. This prompted questions about whether pets could be spreading the virus, and whether they should be put into quarantine.","The WHO says: “While there has been one instance of a dog being infected in Hong Kong, to date, there is no evidence that a dog, cat or any pet can transmit COVID-19.”"
43,Can you catch coronavirus twice?,https://www.covid-19facts.com/?p=83849,"In February a Japanese woman who had recovered from COVID-19 and tested negative for the virus, developed symptoms and tested positive again about 20 days later. China has also reportedly had similar cases. These cases led to people questioning whether it was possible to get the novel coronavirus twice.","The US Centers for Disease Control and Prevention (CDC) say that the immune response to the novel coronavirus is not yet understood. They say that people who caught the coronavirus that causes MERS were unlikely to be re-infected shortly after recovery, but that it is not yet known whether similar immune protection will be observed for patients with COVID-19."
44,Myth: A vaccine is likely to be ready within the next month or so,https://www.covid-19facts.com/?p=83775,"In Beijing, the director of the National Health Commission’s Science and Technology Development Centre claimed in the South China Morning Post that a coronavirus vaccine will be ready next month. He said it is to be used for emergency situations and clinical trials, and eight institutes in China are working on different approaches to fight COVID-19. Sometime in April they hope to have the vaccine available.","A recent overview from the University of Pennsylvania looked at the complexity and costs of vaccine manufacturing and it suggests that the regulatory requirements can be challenging for the vaccine manufacture industry. The steps that are necessary to produce a vaccine that is ‘safe, effective and consistent’ are difficult to execute over the life cycle of a vaccine."
45,Do reusable water bottles spread the virus?,https://www.covid-19facts.com/?p=83769,"Heightened awareness of hygiene and risk of coronavirus has led people to question the cleanliness and hygiene of a range of places and objects, including cash, gyms and re-useable water bottles.",The major public health bodies such as the World Health Organization and the European Centre for Disease Prevention and Control (ECDC) have not specifically produced guidance on reusable water bottles during the coronavirus outbreak.
46,Myth: Airport temperature screening for arriving passengers can ‘stop’ coronavirus,https://www.covid-19facts.com/?p=83757,"Some countries have restricted entry from the countries which are badly affected by COVID-19. Other countries have started using screening measures on entry such as temperature screening for passengers arriving from high risk countries. In Wuhan, where the outbreak began, airport temperature screening was also used in the early stages to stop infected passengers leaving the area.","The European Centre for Disease Prevention and Control (ECDC) has stated that “There is evidence that checking people at the airport (known as entry screening) is not very effective in preventing the spread of the virus, especially when people do not have symptoms. It is generally considered more useful to provide those arriving at airports with clear information explaining what to do if they develop symptoms after arrival.”"
47,Myth: Mutations making coronavirus “more aggressive”,https://www.covid-19facts.com/?p=83749,"Many news sources have covered the findings of this study by researchers from Peking University and other centres in China. For example, the Sun headline was that “Coronavirus has ‘mutated’ into TWO strains – with the most aggressive infecting 70% of patients, scientists claim”.","The researchers themselves say that it is not clear whether the L type causes more severe disease (“is more virulent”) than the S type. As yet we have very limited information on the genetics of the circulating viruses, and how genetic variations might impact severity or infectiousness in humans, or in cells or animals in the laboratory."
48,Myth: Coronavirus is no worse than the flu,https://www.covid-19facts.com/?p=83734,Many mainstream and social media have covered the question of mortality recently including health sites and newspapers. It is well known that “fear stories” in headlines can sell newspapers.,"Seasonal influenza, pandemic flu (such as H1N1) and SARS, another coronavirus, are natural comparators for these outbreaks, but they are all different diseases with different case fatality rates and profiles."
49,Myth: Children are “safe” from coronavirus,https://www.covid-19facts.com/?p=83720,"All parents know that infections such as the winter vomiting bug (norovirus) or chickenpox can spread like wildfire through nurseries and schools. Therefore the obvious concern with a new virus, like the one that causes COVID-19, is that children could be more susceptible. However, more recent news has suggested that children may be “safe” from coronavirus.","The initial research findings have allayed some fears about COVID-19 in children. However, there is still much we don’t know, and children cannot be ignored in preventive measures or planning for combating the disease."
