,faq_question,faq_answer,faq_category,date_collected
10,Is there a treatment for the COVID-19 disease?," There is no specific treatment or vaccine for this disease. Healthcare providers are mostly using a symptomatic approach, meaning they treat the symptoms rather than target the virus, and provide supportive care (e.g. oxygen therapy, fluid management) for infected persons, which can be highly effective. In severe and critically ill patients, a number of drugs are being tried to target the virus, but the use of these need to be more carefully assessed in randomised controlled trials. Several clinical trials are ongoing to assess their effectiveness but results are not yet available. As this is a new virus, no vaccine is currently available. Although work on a vaccine has already started by several research groups and pharmaceutical companies worldwide, it may be many months or even more than a year before a vaccine has been tested and is ready for use in humans. Current advice for testing depends on the stage of the outbreak in the country or area where you live. Testing approaches will be adapted to the situation at national and local level. National authorities may decide to test only subgroups of suspected cases based on the national capacity to test, the availability of necessary equipment for testing, the level of community transmission of COVID-19, or other criteria. As a resource conscious approach, ECDC has suggested that national authorities may consider prioritising testing in the following groups:",Medical information,06/08/20
11,When should I be tested for COVID-19?," Current advice for testing depends on the stage of the outbreak in the country or area where you live. Testing approaches will be adapted to the situation at national and local level. National authorities may decide to test only subgroups of suspected cases based on the national capacity to test, the availability of necessary equipment for testing, the level of community transmission of COVID-19, or other criteria. As a resource conscious approach, ECDC has suggested that national authorities may consider prioritising testing in the following groups:",Medical information,06/08/20
12,Where can I get tested?," If you are feeling ill with COVID-19 symptoms (such as fever, cough, difficulty breathing, muscle pain or general weakness), it is recommended that you contact your local healthcare services online or by telephone. If your healthcare provider believes there is a need for a laboratory test for the virus that causes COVID-19, he/she will inform you of the procedure to follow and advise where and how the test can be performed. A large proportion of the population (up to 15-20%) reports seasonal symptoms related to pollen, the most common of which include itchy eyes, nasal congestion, runny nose and sometimes wheezing and skin rash. All these symptoms are usually referred to as hay fever, pollen allergy or more appropriately allergic rhinitis. Allergic rhinitis is commonly associated with allergic asthma in children and adults. Allergies, including mild allergic asthma, have not been identified as a major risk factor for SARS-CoV-2 infection or for a more unfavourable outcome in the studies available so far. Moderate to severe asthma on the other hand, where patients need treatment daily, is included in the chronic lung conditions that predispose to severe disease. Children and adults on maintenance medication for allergies (e.g. leukotriene inhibitors, inhaled corticosteroids and/or bronchodilators) need to continue their treatment as prescribed by their doctor and should not discontinue their medication due to fears of COVID-19. If they develop symptoms compatible with COVID-19, they will need to self-isolate, inform their doctor and monitor their health as everyone else. If progressive difficulty breathing develops, they should seek prompt medical assistance. Many people with COVID-19 have mild, flu-like symptoms (see above question 1), which are rather common and need to be distinguished from similar symptoms caused by common cold viruses and from allergic symptoms during springtime. The following table presents a comparison of the most common symptoms of all three conditions according to their reported frequency. It is good to bear in mind that the definitive diagnosis of COVID-19 is not clinical, but through laboratory testing of a sample from the nose or mouth.",Medical information,06/08/20
13,Do persons suffering from pollen allergy or allergies in general have a higher risk to develop severe disease when having COVID-19? ," A large proportion of the population (up to 15-20%) reports seasonal symptoms related to pollen, the most common of which include itchy eyes, nasal congestion, runny nose and sometimes wheezing and skin rash. All these symptoms are usually referred to as hay fever, pollen allergy or more appropriately allergic rhinitis. Allergic rhinitis is commonly associated with allergic asthma in children and adults. Allergies, including mild allergic asthma, have not been identified as a major risk factor for SARS-CoV-2 infection or for a more unfavourable outcome in the studies available so far. Moderate to severe asthma on the other hand, where patients need treatment daily, is included in the chronic lung conditions that predispose to severe disease. Children and adults on maintenance medication for allergies (e.g. leukotriene inhibitors, inhaled corticosteroids and/or bronchodilators) need to continue their treatment as prescribed by their doctor and should not discontinue their medication due to fears of COVID-19. If they develop symptoms compatible with COVID-19, they will need to self-isolate, inform their doctor and monitor their health as everyone else. If progressive difficulty breathing develops, they should seek prompt medical assistance. Many people with COVID-19 have mild, flu-like symptoms (see above question 1), which are rather common and need to be distinguished from similar symptoms caused by common cold viruses and from allergic symptoms during springtime. The following table presents a comparison of the most common symptoms of all three conditions according to their reported frequency. It is good to bear in mind that the definitive diagnosis of COVID-19 is not clinical, but through laboratory testing of a sample from the nose or mouth.",Medical information,06/08/20
14,How can we differentiate between hay fever/pollen allergy related respiratory symptoms and COVID-19 infection? ," Many people with COVID-19 have mild, flu-like symptoms (see above question 1), which are rather common and need to be distinguished from similar symptoms caused by common cold viruses and from allergic symptoms during springtime. The following table presents a comparison of the most common symptoms of all three conditions according to their reported frequency. It is good to bear in mind that the definitive diagnosis of COVID-19 is not clinical, but through laboratory testing of a sample from the nose or mouth.",Medical information,06/08/20
15, Should people who suffer from pollen allergy self-isolate if they develop typical hay fever symptoms? ," No, there is no more reason for people suffering from pollen allergy to self-isolate if they develop their typical hay-fever symptoms than for anyone else. They should continue following the general guidance for physical distancing and seek medical advice if their symptoms get worse, if they develop fever or progressive difficulty breathing. The virus enters your body via your eyes, nose and/or mouth, so it is important to avoid touching your face with unwashed hands. Washing of hands with soap and water for at least 20 seconds, or cleaning hands thoroughly with alcohol-based solutions, gels or tissues is recommended in all settings. It is also recommended to stay one metre or more away from people infected with COVID-19 who are showing symptoms, to reduce the risk of infection through respiratory droplets.",Prevention,06/08/20
16,How can I avoid getting infected?," The virus enters your body via your eyes, nose and/or mouth, so it is important to avoid touching your face with unwashed hands. Washing of hands with soap and water for at least 20 seconds, or cleaning hands thoroughly with alcohol-based solutions, gels or tissues is recommended in all settings. It is also recommended to stay one metre or more away from people infected with COVID-19 who are showing symptoms, to reduce the risk of infection through respiratory droplets.",Prevention,06/08/20
17,How can I avoid infecting others?," If you feel unwell, stay at home. If you develop any symptoms suggestive of COVID-19, you should immediately call your healthcare provider for advice. Physical distancing aims to reduce physical contact between potentially infected people and healthy people, or between population groups with high rates of transmission and others with low or no level of transmission. The objective of this is to decrease or interrupt the spread of COVID-19. Note that the term ‘physical distancing’ means the same thing as the widely used term ‘social distancing’, but it more accurately describes what is intended, namely that people keep physically apart. It is possible that physical distancing measures will have to be implemented over an extended period, and their success depends partially on ensuring that people maintain social contact – from a distance – with friends, family and colleagues. Internet-based communications and the phone are therefore key tools for ensuring a successful physical distancing strategy. On a personal level, you can perform physical distancing measures by: Many countries in the EU/EEA and the UK have installed quarantine and social/physical distancing as measures to prevent the further spread of the virus. These measures can include:",Prevention,06/08/20
18,What is physical distancing and why and how should I do it?," Physical distancing aims to reduce physical contact between potentially infected people and healthy people, or between population groups with high rates of transmission and others with low or no level of transmission. The objective of this is to decrease or interrupt the spread of COVID-19. Note that the term ‘physical distancing’ means the same thing as the widely used term ‘social distancing’, but it more accurately describes what is intended, namely that people keep physically apart. It is possible that physical distancing measures will have to be implemented over an extended period, and their success depends partially on ensuring that people maintain social contact – from a distance – with friends, family and colleagues. Internet-based communications and the phone are therefore key tools for ensuring a successful physical distancing strategy. On a personal level, you can perform physical distancing measures by: Many countries in the EU/EEA and the UK have installed quarantine and social/physical distancing as measures to prevent the further spread of the virus. These measures can include:",Prevention,06/08/20
19,What should I do if I develop symptoms of COVID-19?," Follow the guidelines of the public health authorities in your area on the steps to take or call the local COVID-19 helpline. If you are infected, the use of surgical face masks may reduce the risk of you infecting other people. On the other hand there is no evidence that face masks will effectively prevent you from becoming infected with the virus. In fact, it is possible that the use of face masks may even increase the risk of infection due to a false sense of security and increased contact between hands, mouth and eyes while wearing them. The inappropriate use of masks also may increase the risk of infection. There are currently no vaccines against human coronaviruses, including the virus that causes COVID-19. This is why it is very important to prevent infection and to take measures to contain further spread of the virus.  The development of vaccines take time. Several pharmaceutical companies and research laboratories are working on vaccine candidates. It will, however, take many months or even years before any vaccine can be widely used, as it needs to undergo extensive testing in clinical trials to determine its safety and efficacy.  These clinical trials are an essential precursor to regulatory approval and usually take place in three phases. The first, involving a few dozen healthy volunteers, tests the vaccine for safety, monitoring for adverse effects. The second, involving several hundred people, usually in a part of the world badly affected by the disease, looks at how effective the vaccine is in the field, and the third does the same in several thousand people. Influenza and the virus that causes COVID-19 are two very different viruses and the seasonal influenza vaccine will not protect against COVID-19.  ",Prevention,06/08/20
20,Are face masks effective in protecting against COVID-19?," If you are infected, the use of surgical face masks may reduce the risk of you infecting other people. On the other hand there is no evidence that face masks will effectively prevent you from becoming infected with the virus. In fact, it is possible that the use of face masks may even increase the risk of infection due to a false sense of security and increased contact between hands, mouth and eyes while wearing them. The inappropriate use of masks also may increase the risk of infection. There are currently no vaccines against human coronaviruses, including the virus that causes COVID-19. This is why it is very important to prevent infection and to take measures to contain further spread of the virus.  The development of vaccines take time. Several pharmaceutical companies and research laboratories are working on vaccine candidates. It will, however, take many months or even years before any vaccine can be widely used, as it needs to undergo extensive testing in clinical trials to determine its safety and efficacy.  These clinical trials are an essential precursor to regulatory approval and usually take place in three phases. The first, involving a few dozen healthy volunteers, tests the vaccine for safety, monitoring for adverse effects. The second, involving several hundred people, usually in a part of the world badly affected by the disease, looks at how effective the vaccine is in the field, and the third does the same in several thousand people. Influenza and the virus that causes COVID-19 are two very different viruses and the seasonal influenza vaccine will not protect against COVID-19.  ",Prevention,06/08/20
21,Is there a vaccine against the virus? ," There are currently no vaccines against human coronaviruses, including the virus that causes COVID-19. This is why it is very important to prevent infection and to take measures to contain further spread of the virus.  The development of vaccines take time. Several pharmaceutical companies and research laboratories are working on vaccine candidates. It will, however, take many months or even years before any vaccine can be widely used, as it needs to undergo extensive testing in clinical trials to determine its safety and efficacy.  These clinical trials are an essential precursor to regulatory approval and usually take place in three phases. The first, involving a few dozen healthy volunteers, tests the vaccine for safety, monitoring for adverse effects. The second, involving several hundred people, usually in a part of the world badly affected by the disease, looks at how effective the vaccine is in the field, and the third does the same in several thousand people. Influenza and the virus that causes COVID-19 are two very different viruses and the seasonal influenza vaccine will not protect against COVID-19.  ",Prevention,06/08/20
22,How long will it take to develop a vaccine?," The development of vaccines take time. Several pharmaceutical companies and research laboratories are working on vaccine candidates. It will, however, take many months or even years before any vaccine can be widely used, as it needs to undergo extensive testing in clinical trials to determine its safety and efficacy.  These clinical trials are an essential precursor to regulatory approval and usually take place in three phases. The first, involving a few dozen healthy volunteers, tests the vaccine for safety, monitoring for adverse effects. The second, involving several hundred people, usually in a part of the world badly affected by the disease, looks at how effective the vaccine is in the field, and the third does the same in several thousand people. Influenza and the virus that causes COVID-19 are two very different viruses and the seasonal influenza vaccine will not protect against COVID-19.  ",Prevention,06/08/20
23,Am I protected against COVID-19 if I had the influenza vaccine this year?, Influenza and the virus that causes COVID-19 are two very different viruses and the seasonal influenza vaccine will not protect against COVID-19.  ,Prevention,06/08/20
24,What is the situation in Europe at the moment?," The COVID-19 pandemic is posing an unprecedented threat to the EU/EEA countries and the UK, which have been experiencing widespread transmission of the virus in the community for several weeks. In addition, there has been an increasing number of reports of COVID-19 outbreaks in long-term care homes across Europe with high associated mortality, highlighting the extreme vulnerability of the elderly in this setting. The absence of an effective treatment or a vaccine combined with an exponential growth in infections from late February led many countries to implement non-pharmaceutical interventions such as “stay-at-home” policies (recommended or enforced), jointly with other community and physical distancing measures such as the cancellation of mass gatherings, closure of educational institutions and public spaces. The outbreak of COVID-19 in the EU/EEA and the UK has evolved dramatically, and many countries have moved to a scenario of sustained community transmission with large numbers of cases infected. The rapid escalation of cases in countries such as Italy and Spain has placed an enormous pressure on the healthcare system and this has been a major challenge for local services. All countries in the EU have responded to the emerging situation through implementation of a comprehensive package of measures including surveillance, testing, case management and strategies to mitigate the impact of the pandemic such as physical distancing measures.[ The outbreak of COVID-19 has evolved dramatically in the EU/EEA and the UK. The rapid escalation of cases in several countries  has placed enormous pressure on healthcare systems, and presented a major challenge for local services. All countries in the EU have responded to the emerging situation. The situation continues to evolve and lessons are still being learnt and countries are working hard to adapt their response to the ever changing situation. The European Centre for Disease Prevention and Control (ECDC) is in continuous contact with the European Commission and the World Health Organization (WHO) regarding the assessment of this outbreak.  To inform the European Commission and the public health authorities in Member States of the ongoing situation, ECDC publishes daily updates and continuously assesses the risk for EU citizens. ECDC and WHO develop technical guidance to support countries in their response. The European Commission is ensuring the coordination of risk management activities at EU level.",What is the current situation in the EU regarding COVID-19?,06/08/20
25,How are countries in the EU/EEA and the UK responding to COVID-19?," The outbreak of COVID-19 in the EU/EEA and the UK has evolved dramatically, and many countries have moved to a scenario of sustained community transmission with large numbers of cases infected. The rapid escalation of cases in countries such as Italy and Spain has placed an enormous pressure on the healthcare system and this has been a major challenge for local services. All countries in the EU have responded to the emerging situation through implementation of a comprehensive package of measures including surveillance, testing, case management and strategies to mitigate the impact of the pandemic such as physical distancing measures.[ The outbreak of COVID-19 has evolved dramatically in the EU/EEA and the UK. The rapid escalation of cases in several countries  has placed enormous pressure on healthcare systems, and presented a major challenge for local services. All countries in the EU have responded to the emerging situation. The situation continues to evolve and lessons are still being learnt and countries are working hard to adapt their response to the ever changing situation. The European Centre for Disease Prevention and Control (ECDC) is in continuous contact with the European Commission and the World Health Organization (WHO) regarding the assessment of this outbreak.  To inform the European Commission and the public health authorities in Member States of the ongoing situation, ECDC publishes daily updates and continuously assesses the risk for EU citizens. ECDC and WHO develop technical guidance to support countries in their response. The European Commission is ensuring the coordination of risk management activities at EU level.",What is the current situation in the EU regarding COVID-19?,06/08/20
26,How prepared is Europe for COVID-19?  ," The outbreak of COVID-19 has evolved dramatically in the EU/EEA and the UK. The rapid escalation of cases in several countries  has placed enormous pressure on healthcare systems, and presented a major challenge for local services. All countries in the EU have responded to the emerging situation. The situation continues to evolve and lessons are still being learnt and countries are working hard to adapt their response to the ever changing situation. The European Centre for Disease Prevention and Control (ECDC) is in continuous contact with the European Commission and the World Health Organization (WHO) regarding the assessment of this outbreak.  To inform the European Commission and the public health authorities in Member States of the ongoing situation, ECDC publishes daily updates and continuously assesses the risk for EU citizens. ECDC and WHO develop technical guidance to support countries in their response. The European Commission is ensuring the coordination of risk management activities at EU level.",What is the current situation in the EU regarding COVID-19?,06/08/20
27,What is the EU doing?," The European Centre for Disease Prevention and Control (ECDC) is in continuous contact with the European Commission and the World Health Organization (WHO) regarding the assessment of this outbreak.  To inform the European Commission and the public health authorities in Member States of the ongoing situation, ECDC publishes daily updates and continuously assesses the risk for EU citizens. ECDC and WHO develop technical guidance to support countries in their response. The European Commission is ensuring the coordination of risk management activities at EU level.",What is the current situation in the EU regarding COVID-19?,06/08/20
28,When can we return to normal?," The stay-at-home and physical distancing measures that have been imposed throughout the EU/EEA and the UK are highly disruptive to society, both economically and socially, and there is very wide agreement that they should be lifted as soon as it is safe to do so. However, lifting the measures too early or too quickly carries the risk of a rapid return to high infection rates, and this could overwhelm the health system while causing high levels of illness and many deaths. The Joint European Roadmap towards lifting COVID-19 containment measures addresses this issue by providing the framework for an economic and social recovery plan for the EU alongside a set of public health principles that are aimed at minimising the risk of a resurgence in the number of cases. Should a resurgence occur, the stay-at-home and physical distancing measures may need to be put in place again. It is increasingly recognised that we will be living with COVID-19 for many months, or even years. This disease will continue to affect our lives for some time to come, and we all need to prepare mentally for that.  This outbreak is evolving rapidly. ECDC is continuously assessing the risk for EU citizens and the risk assessment is changing accordingly. As this is a new virus, most people do not have any immunity that can safeguard against infection. You can find the latest information in the daily situation update and the regular ECDC risk assessment.",What is the current situation in the EU regarding COVID-19?,06/08/20
29,Am I at risk of contracting COVID-19 infection in the EU?," This outbreak is evolving rapidly. ECDC is continuously assessing the risk for EU citizens and the risk assessment is changing accordingly. As this is a new virus, most people do not have any immunity that can safeguard against infection. You can find the latest information in the daily situation update and the regular ECDC risk assessment.",What is the current situation in the EU regarding COVID-19?,06/08/20
30,How many people have been infected in the EU/EEA?," COVID-19 is spreading rapidly worldwide, and the number of cases in Europe is increasing exponentially in many affected areas. See the ECDC daily situation update for the latest available numbers.",What is the current situation in the EU regarding COVID-19?,06/08/20
31,How long will this outbreak last? When will we see the peak?," As greater evidence emerges regarding the nature of the virus and the effectiveness of measures used to control the outbreak, predictions relating to the future course of COVID-19 will become more reliable.  The evidence we have to date indicates that COVID-19 does not cause serious illness in children – not nearly as much as it does for adults. However, they can still be infected, though the extent to which children play a role in the transmission of the virus to others is still uncertain. Therefore, as one of several measures to limit the possible spread of the virus, most EU/EEA countries and the UK have closed some or all schools and day care centres. However, school closures may have an impact on availability of healthcare staff and other essential services, due to the need for having to care for their children when not in school, which needs to be taken into consideration (e.g. some countries only maintain schooling for these children of staff in a critical role). Also, if grandparents are asked to care for the children, the benefits of lower transmission between children might be offset by transmission into a more vulnerable population group. Following a reduction in the virus transmission, several countries (e.g., Austria, Denmark, Germany, Italy, Norway, Slovenia) have now started to ease some of the measures they have had in place, including by re-opening primary schools and day care centres. If the virus starts to spread again once these measures are lifted, it is possible that schools may have to be closed again for a period of time. Each EU/EEA country and the UK have dedicated websites with information for the public on COVID-19 and on the national situation. Consult with your national authorities to get advice tailored for your setting. ",What is the current situation in the EU regarding COVID-19?,06/08/20
