,faq_question,faq_answer,claim,faq_category,date_collected
10,Why are we seeing a rise in cases?,The number of cases of COVID-19 being reported in the United States is rising due to increased laboratory testing and reporting across the country. The growing number of cases in part reflects the rapid spread of COVID-19 as many U.S. states and territories experience community spread. More detailed and accurate data will allow us to better understand and track the size and scope of the outbreak and strengthen prevention and response efforts.,The number of cases of COVID-19 being reported in the United States is rising due to increased laboratory testing and reporting across the country,How COVID-19 Spreads,06/09/20
11,Can someone who has had COVID-19 spread the illness to others?,"The virus that causes COVID-19 is spreading from person-to-person. People are thought to be most contagious when they are symptomatic (the sickest). That is why CDC recommends that these patients be isolated either in the hospital or at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others. More recently the virus has also been detected in asymptomatic persons.
How long someone is actively sick can vary so the decision on when to release someone from isolation is made using a test-based or non-test-based strategy (i.e. time since illness started and time since recovery) in consultation with state and local public health officials. The decision involves considering the specifics of each situation, including disease severity, illness signs and symptoms, and the results of laboratory testing for that patient.
Learn more about CDC’s guidance on when to release someone from isolation and discharge hospitalized patients with COVID-19. For information on when someone who has been sick with COVID-19 is able to stop home isolation see Interim Guidance for Discontinuation of In-Home Isolation for Patients with COVID-19.
Someone who has been released from isolation is not considered to pose a risk of infection to others.",The virus that causes COVID-19 is spreading from person-to-person,How COVID-19 Spreads,06/09/20
12,Can someone who has been quarantined for COVID-19 spread the illness to others?,"Quarantine means separating a person or group of people who have been exposed to a contagious disease but have not developed illness (symptoms) from others who have not been exposed, in order to prevent the possible spread of that disease. Quarantine is usually established for the incubation period of the communicable disease, which is the span of time during which people have developed illness after exposure. For COVID-19, the period of quarantine is 14 days from the last date of exposure because the incubation period for this virus is 2 to 14 days. Someone who has been released from COVID-19 quarantine is not considered a risk for spreading the virus to others because they have not developed illness during the incubation period.","Quarantine means separating a person or group of people who have been exposed to a contagious disease but have not developed illness (symptoms) from others who have not been exposed, in order to prevent the possible spread of that disease",How COVID-19 Spreads,06/09/20
13,"Can the virus that causes COVID-19 be spread through food, including restaurant take out, refrigerated or frozen packaged food?","Coronaviruses are generally thought to be spread from person to person through respiratory droplets. Currently, there is no evidence to support transmission of COVID-19 associated with food. Before preparing or eating food it is important to always wash your hands with soap and water for at least 20 seconds for general food safety. Throughout the day use a tissue to cover your coughing or sneezing, and wash your hands after blowing your nose, coughing or sneezing, or going to the bathroom.
It may be possible that a person can get COVID-19 by touching a surface or object, like a packaging container, that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.
In general, because of poor survivability of these coronaviruses on surfaces, there is likely very low risk of spread from food products or packaging.
Learn what is known about the spread of COVID-19.",Coronaviruses are generally thought to be spread from person to person through respiratory droplets,How COVID-19 Spreads,06/09/20
14,Can I get sick with COVID-19 if it is on food?,"Based on information about this novel coronavirus thus far, it seems unlikely that COVID-19 can be transmitted through food – additional investigation is needed.","Based on information about this novel coronavirus thus far, it seems unlikely that COVID-19 can be transmitted through food – additional investigation is needed",How COVID-19 Spreads,06/09/20
15,Will warm weather stop the outbreak of COVID-19?,"It is not yet known whether weather and temperature affect the spread of COVID-19. Some other viruses, like those that cause the common cold and flu, spread more during cold weather months but that does not mean it is impossible to become sick with these viruses during other months.  There is much more to learn about the transmissibility, severity, and other features associated with COVID-19 and investigations are ongoing.",It is not yet known whether weather and temperature affect the spread of COVID-19,How COVID-19 Spreads,06/09/20
16,What is community spread?,"Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.","Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected",How COVID-19 Spreads,06/09/20
17,What temperature kills the virus that causes COVID-19?,"Generally coronaviruses survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments. However, we don’t have direct data for this virus, nor do we have direct data for a temperature-based cutoff for inactivation at this point. The necessary temperature would also be based on the materials of the surface, the environment, etc. Regardless of temperature please follow CDC’s guidance for cleaning and disinfection.",Generally coronaviruses survive for shorter periods at higher temperatures and higher humidity than in cooler or dryer environments,How COVID-19 Spreads,06/09/20
18,Can mosquitoes or ticks spread the virus that causes COVID-19?,"At this time, CDC has no data to suggest that this new coronavirus or other similar coronaviruses are spread by mosquitoes or ticks. The main way that COVID-19 spreads is from person to person. See How Coronavirus Spreads for more information.","At this time, CDC has no data to suggest that this new coronavirus or other similar coronaviruses are spread by mosquitoes or ticks",How COVID-19 Spreads,06/09/20
19,Am I at risk for COVID-19 in the United States?,This is a rapidly evolving situation and the risk assessment may change daily. The latest updates are available on CDC’s Coronavirus Disease 2019 (COVID-19) website.,This is a rapidly evolving situation and the risk assessment may change daily,How to Protect Yourself,06/09/20
20,How many cases have been reported in the United States?,COVID-19 case counts for the United States are updated regularly online. See the current U.S. case count of COVID-19.,COVID-19 case counts for the United States are updated regularly online,How to Protect Yourself,06/09/20
21,How can I help protect myself?,"Visit the COVID-19 Prevention and Treatment page to learn about how to protect yourself from respiratory illnesses, like COVID-19.","Visit the COVID-19 Prevention and Treatment page to learn about how to protect yourself from respiratory illnesses, like COVID-19",How to Protect Yourself,06/09/20
22,What should I do if I have had close contact with someone who has COVID-19?,"There is information for people who have had close contact with a person confirmed to have, or being evaluated for, COVID-19 available online.","There is information for people who have had close contact with a person confirmed to have, or being evaluated for, COVID-19 available online",How to Protect Yourself,06/09/20
23,Does CDC recommend the use of facemask or face coverings to prevent COVID-19?,"In light of data about how COVID-19 spreads, along with evidence of widespread COVID-19 illness in communities across the country, CDC recommends that people wear a cloth face covering to cover their nose and mouth in the community setting. This is an additional public health measure people should take to reduce the spread of COVID-19 in addition to (not instead of) social distancing, frequent hand cleaning and other everyday preventive actions. A cloth face covering is not intended to protect the wearer, but may prevent the spread of virus from the wearer to others. This would be especially important in the event that someone is infected but does not have symptoms. A cloth face covering should be worn whenever people must go into public settings (grocery stores, for example). Medical masks and N-95 respirators are reserved for healthcare workers and other first responders, as recommended by current CDC guidance.","In light of data about how COVID-19 spreads, along with evidence of widespread COVID-19 illness in communities across the country, CDC recommends that people wear a cloth face covering to cover their nose and mouth in the community setting",How to Protect Yourself,06/09/20
24,Is it safe to get care for my other medical conditions during this time?,"

It is important to continue taking care of your health and wellness. If you have a chronic health problem, you may be at higher risk for severe illness from COVID-19. Below are some things you can to do to take care of your health during this time.
Continue your medications, and do not change your treatment plan without talking to your healthcare provider.
Continue to manage your disease the way your healthcare provider has told you.
Have at least a 2-week supply of all prescription and non-prescription medications. Talk to your healthcare provider, insurer, and pharmacist about getting an extra supply of prescription medications, if possible, to reduce trips to the pharmacy.
Talk to your healthcare provider about whether your vaccinations are up-to-date. People aged 65 years or older, and those with some underlying medical conditions, are recommended to receive vaccinations against influenza and pneumococcal disease as soon as your provider tells you that  can.
Call your healthcare provider 

if you have any concerns about your medical conditions, or if you get sick.
to find out about different ways you can connect with your healthcare provider for chronic disease management or other conditions. Ask about phone calls, video appointments, use of the patient portal, emails and mailings. Learn more about telehealth hereexternal icon.


Do not delay getting emergency care for your health problems or any health condition that requires immediate attention. 

If you need emergency help, call 911.
Emergency departments have infection prevention plans to protect you from getting COVID-19 if you need care for your medical condition.


Continue to practice everyday prevention: wash your hands often, keep space between yourself and others, cover your mouth and nose with a cloth face cover when around other people, cover coughs and sneezes, and clean and disinfect frequently touched surfaces often.

","

It is important to continue taking care of your health and wellness",How to Protect Yourself,06/09/20
25,"Am I at risk for COVID-19 from mail, packages, or products?","There is still a lot that is unknown about COVID-19 and how it spreads. Coronaviruses are thought to be spread most often by respiratory droplets. Although the virus can survive for a short period on some surfaces, it is unlikely to be spread from domestic or international mail, products or packaging. However, it may be possible that people can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads.
Learn more about safe handling of deliveries and mail.",There is still a lot that is unknown about COVID-19 and how it spreads,How to Protect Yourself,06/09/20
26,Is it okay for me to donate blood?,"In healthcare settings across the United States, donated blood is a lifesaving, essential part of caring for patients. The need for donated blood is constant, and blood centers are open and in urgent need of donations. CDC encourages people who are well to continue to donate blood if they are able, even if they are practicing social distancing because of COVID-19. CDC is supporting blood centers by providing recommendations that will keep donors and staff safe. Examples of these recommendations include spacing donor chairs 6 feet apart, thoroughly adhering to environmental cleaning practices, and encouraging donors to make donation appointments ahead of time.","In healthcare settings across the United States, donated blood is a lifesaving, essential part of caring for patients",How to Protect Yourself,06/09/20
27,Should contact lens wearers take special precautions to prevent COVID-19?,"

Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.
Contact lens wearers should continue to practice safe contact lens wear and care hygiene habits to help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses.
People who are healthy can continue to wear and care for their contact lenses as prescribed by their eye care professional.

Find more information about how coronavirus spreads and how to protect yourself.
Visit CDC’s contact lens website for more information on healthy contact lens wear and care.","

Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers",How to Protect Yourself,06/09/20
28,Is contact lens disinfecting solution effective against COVID-19?,"

Hydrogen peroxide-based systems for cleaning, disinfecting, and storing contact lenses should be effective against the virus that causes COVID-19.

For other disinfection methods, such as multipurpose solution and ultrasonic cleaners, there is currently not enough scientific evidence to determine efficacy against the virus.


Always use solution to disinfect your contact lenses and case to kill germs that may be present.
Handle your lenses over a surface that has been cleaned and disinfected.

Find more information about how coronavirus spreads and how to protect yourself.
Visit CDC’s contact lens website for more information on healthy contact lens wear and care.","

Hydrogen peroxide-based systems for cleaning, disinfecting, and storing contact lenses should be effective against the virus that causes COVID-19",How to Protect Yourself,06/09/20
29,What is the risk of my child becoming sick with COVID-19?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. You can learn more about who is at higher risk for severe illness from COVID-19 at People who are at higher risk for severe illness.","Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults",COVID-19 and Children,06/09/20
30,How can I protect my child from COVID-19 infection?,"You can encourage your child to help stop the spread of COVID-19 by teaching them to do the same things everyone should do to stay healthy.

Avoid close contact with people who are sick.
Stay home when you are sick, except to get medical care.
Cover your coughs and sneezes with a tissue and throw the tissue in the trash.
Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.
Clean and disinfect frequently touched surfaces and objects (e.g., tables, countertops, light switches, doorknobs, and cabinet handles).
Launder items, including washable plush toys, as appropriate and in accordance with the manufacturer’s instructions. If possible, launder items using the warmest appropriate water setting for the items and dry items completely. Dirty laundry from an ill person can be washed with other people’s items.

You can find additional information on preventing COVID-19 at Prevention for 2019 Novel Coronavirus and at Preventing COVID-19 Spread in Communities. Additional information on how COVID-19 is spread is available at How COVID-19 Spreads.
More information on Children and Coronavirus Disease 2019 (COVID-19) is available online.",You can encourage your child to help stop the spread of COVID-19 by teaching them to do the same things everyone should do to stay healthy,COVID-19 and Children,06/09/20
31,Are the symptoms of COVID-19 different in children than in adults?,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. It’s not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children.",No,COVID-19 and Children,06/09/20
32,Should children wear masks?,"CDC recommends that everyone 2 years and older wear a cloth face covering that covers their nose and mouth when they are out in the community. Cloth face coverings should NOT be put on babies or children younger than 2 because of the danger of suffocation. Children younger than 2 years of age are listed as an exception as well as anyone who has trouble breathing or is unconscious, incapacitated, or otherwise unable to remove the face covering without assistance.
Wearing cloth face coverings is a public health measure people should take to reduce the spread of COVID-19 in addition to (not instead of) social distancing, frequent hand cleaning ,and other everyday preventive actions. A cloth face covering is not intended to protect the wearer but may prevent the spread of virus from the wearer to others. This would be especially important if someone is infected but does not have symptoms. Medical face masks and N95 respirators are still reserved for healthcare personnel and other first responders, as recommended by current CDC guidance.",CDC recommends that everyone 2 years and older wear a cloth face covering that covers their nose and mouth when they are out in the community,COVID-19 and Children,06/09/20
33,How do I prepare my children in case of COVID-19 outbreak in our community?,"Outbreaks can be stressful for adults and children. Talk with your children about the outbreak, try to stay calm, and reassure them that they are safe. If appropriate, explain to them that most illness from COVID-19 seems to be mild. Children respond differently to stressful situations than adults. CDC offers resources to help talk with children about COVID-19.",Outbreaks can be stressful for adults and children,COVID-19 and Children,06/09/20
34,What steps should parents take to protect children during a community outbreak?,"This is a new virus and we are still learning about it, but so far, there does not seem to be a lot of illness in children. Most illness, including serious illness, is happening in adults of working age and older adults. However, children do get the virus and become ill. Many schools across the country have announced dismissals for temporary periods. Keep track of school dismissals in your community. Read or watch local media sources that report school dismissals. If schools are dismissed temporarily, use alternative childcare arrangements, if needed.
If your child/children become sick with COVID-19, notify their childcare facility or school. Talk with teachers about classroom assignments and activities they can do from home to keep up with their schoolwork.
Discourage children and teens from gathering in other public places while school is dismissed to help slow the spread of COVID-19 in the community.","This is a new virus and we are still learning about it, but so far, there does not seem to be a lot of illness in children",COVID-19 and Children,06/09/20
35,What is multisystem inflammatory syndrome in children (MIS-C) and who is at risk?,"CDC is working with state and local health departments to learn more about multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19 and gather more information as quickly as possible about how common it is and who is at risk. As new information becomes available, we will continue to provide information for parents and caregivers as well as healthcare and public health professionals. MIS-C has been described as inflammation (swelling) across multiple body systems, potentially including the heart, lungs, kidneys, brain, skin, eyes, and gastrointestinal organs. Signs and symptoms of MIS-C include fever and various symptoms such as abdominal pain, vomiting, diarrhea, neck pain, rash, and feeling tired.
If your child has any of these symptoms, other symptoms of COVID-19, or other concerning signs, contact your pediatrician. If your child is showing any emergency warning signs including trouble breathing, persistent pain or pressure in the chest, new confusion, inability to wake or stay awake, bluish lips or face, severe abdominal pain, or other concerning signs, seek emergency care right away.",CDC is working with state and local health departments to learn more about multisystem inflammatory syndrome in children (MIS-C) associated with COVID-19 and gather more information as quickly as possible about how common it is and who is at risk,COVID-19 and Children,06/09/20
36,"While school’s out, can my child hang out with their friends?","

The key to slowing the spread of COVID-19 is to practice social distancing. While school is out, children should not have in-person playdates with children from other households. If children are playing outside their own homes, it is essential that they remain 6 feet from anyone who is not in their own household.
To help children maintain social connections while social distancing, help your children have supervised phone calls or video chats with their friends.
Make sure children practice everyday preventive behaviors, such as washing their hands often with soap and water. Remember, if children meet outside of school in groups, it can put everyone at risk.

Revise spring break plans if they included non-essential travel.


Information about COVID-19 in children is somewhat limited, but current data suggest children with COVID-19 may have only mild symptoms. However, they can still pass this virus onto others who may be at higher risk, including older adults and people who have serious underlying medical conditions.

","

The key to slowing the spread of COVID-19 is to practice social distancing",School Dismissals and Children,06/09/20
37,"While school’s out, how can I help my child continue learning?","

Stay in touch with your child’s school.

Many schools are offering lessons online (virtual learning). Review assignments from the school, and help your child establish a reasonable pace for completing the work. You may need to assist your child with turning on devices, reading instructions, and typing answers.
Communicate challenges to your school. If you face technology or connectivity issues, or if your child is having a hard time completing assignments, let the school know.


Create a schedule and routine for learning at home, but remain flexible.

Have consistent bedtimes, and get up at the same time, Monday through Friday.
Structure the day for learning, free time, healthy meals and snacks, and physical activity.
Allow flexibility in the schedule—it’s okay to adapt based on your day.


Consider the needs and adjustment required for your child’s age group.

The transition to being at home will be different for preschoolers, K-5, middle school students, and high school students. Talk to your child about expectations and how they are adjusting to being at home versus at school.
Consider ways your child can stay connected with their friends without spending time in person.


Look for ways to make learning fun.

Have hands-on activities, like puzzles, painting, drawing, and making things.
Independent play can also be used in place of structured learning. Encourage children to build a fort from sheets or practice counting by stacking blocks.
Practice handwriting and grammar by writing letters to family members. This is a great way to connect and limit face-to-face contact.
Start a journal with your child to document this time and discuss the shared experience.
Use audiobooks or see if your local library is hosting virtual or live-streamed reading events.



","

Stay in touch with your child’s school",School Dismissals and Children,06/09/20
38,"While school’s out, will kids have access to meals?",Check with your school on plans to continue meal services during the school dismissal. Many schools are keeping school facilities open to allow families to pick up meals or are providing grab-and-go meals at a central location.,Check with your school on plans to continue meal services during the school dismissal,School Dismissals and Children,06/09/20
39,"While school’s out, how can I keep my family healthy?","

Watch your child for any signs of illness.

If you see any sign of illness consistent with symptoms of COVID-19, particularly fever, cough, or shortness of breath, call your healthcare provider and keep your child at home and away from others as much as possible. Follow CDC’s guidance on “What to do if you are sick.”


Watch for signs of stress in your child.

Some common changes to watch for include excessive worry or sadness, unhealthy eating or sleeping habits, and difficulty with attention and concentration. For more information, see the “For Parents” section on CDC’s website, Manage Anxiety and Stress.
Take time to talk with your child or teen about the COVID-19 outbreak. Answer questions and share facts about COVID-19 in a way that your child or teen can understand.
Go to CDC’s Helping Children Cope with Emergencies or Talking with Children About COVID-19 for more information.


Teach and reinforce everyday preventive actions.

Parents and caretakers play an important role in teaching children to wash their hands. Explain that hand washing can keep them healthy and stop the virus from spreading to others.
Be a good role model—if you wash your hands often, they’re more likely to do the same.
Make handwashing a family activity.


Help your child stay active.

Encourage your child to play outdoors—it’s great for physical and mental health. Take a walk with your child or go on a bike ride.
Use indoor activity breaks (stretch breaks, dance breaks) throughout the day to help your child stay healthy and focused.


Help your child stay socially connected.

Reach out to friends and family via phone or video chats.
Write cards or letters to family members they may not be able to visit.
Some schools and non-profits, such as the Collaborative for Academic, Social, and Emotional Learningexternal iconexternal icon and The Yale Center for Emotional Intelligenceexternal iconexternal icon, have resources for social and emotional learning. Check to see if your school has tips and guidelines to help support social and emotional needs of your child.



","

Watch your child for any signs of illness",School Dismissals and Children,06/09/20
40,"While school’s out, limit time with older adults, including relatives, and people with chronic medical conditions.","Older adults and people who have serious underlying medical conditions are at highest risk of getting sick from COVID-19.

If others in your home are at particularly high risk for severe illness from COVID-19, consider extra precautions to separate your child from those people.
If you are unable to stay home with your child during school dismissals, carefully consider who might be best positioned to provide childcare. If someone at higher risk for COVID-19 will be providing care (older adult, such as a grandparent or someone with a serious underlying medical condition), limit your children’s contact with other people.
Consider postponing visits or trip to see older family members and grandparents. Connect virtually or by writing letters and sending via mail.

",Older adults and people who have serious underlying medical conditions are at highest risk of getting sick from COVID-19,School Dismissals and Children,06/09/20
41,Is my child with an underlying medical condition or special healthcare need at higher risk for severe illness from COVID-19?,"Children with complex, chronic medical conditions, including children with physical, developmental, behavioral, or emotional differences, can have special healthcare needs. It’s not known yet whether all of these children are at higher risk for severe illness from COVID-19.
Although most COVID-19 cases in children are not severe, serious illness that needs to be treated at the hospital still happens. Some data on children reported that the majority who needed hospitalization for COVID-19 had at least one underlying medical condition. The most common underlying conditions reported among children with COVID-19 include chronic lung disease (including asthma), heart disease, and conditions that weaken the immune system. This information suggests that children with these underlying medical conditions may be at risk for more severe illness from COVID-19.
More data are needed to learn which underlying or complex medical conditions may put children at increased risk. CDC is monitoring new information as it becomes available and will provide updates as needed.
Learn more about caring for children with special health care needs during a disaster and people who are at higher risk for severe illness from COVID-19.","Children with complex, chronic medical conditions, including children with physical, developmental, behavioral, or emotional differences, can have special healthcare needs",Children and Youth with Special Healthcare Needs,06/09/20
42,What additional steps should families that have a child with an underlying medical condition or special health care need take?,"In addition to following the recommendations to prevent getting sick and running essential errands, families should take extra steps recommended for persons with higher risk of severe COVID-19 illness and steps outlined for those with potential COVID-19 exposure or confirmed illness.

Identify potential alternative caregivers, if you or other regular caregivers become sick and are unable to care for your child. If possible, these alternative caregivers would not be at higher risk of severe illness from COVID-19 themselves.
Try to have at least one month of medication and medical supplies on hand. Some health plans allow for a 90-day supply of prescription medications. Consider discussing this option with your child’s healthcare provider.
Review any care plans for your child, such as an asthma action plan, and make sure caregivers and backup caregivers are familiar with these plans.
If you do not have care plans or an emergency notebook, try to make them. They typically include important information about your child’s medical conditions, how to manage those conditions, how to get in touch with your child’s doctors, allergies, information on medications (names, dosages, and administration instructions), preferences (food and other) or special needs, daily routines and activities, friends, and details about routines that are important to support behavioral and emotional health.
Learn if your child’s healthcare providers, including doctors and therapists, have new ways to be contacted or new ways of providing appointments. If they offer telemedicine visits, find out how those are arranged and any additional information you need.
If your child receives any support care services in the home that need to be continued, make plans for what you will do if those direct care providers get sick, or if persons in your household are sick.
Discuss with the support care agencies and the providers ways to minimize risk for exposure to the virus that causes COVID-19.

If your child or other persons in your household are sick with COVID-19 and are able to recover at home, inform your direct care providers and consider postponing or rescheduling services until the criteria for discontinuing home isolation have been met.
Ask service providers if they are experiencing any symptoms of COVID-19, or if they have been in contact with someone who has COVID-19.
Tell the service provider to:

Wear a cloth face covering if they will be close (less than 6 feet) to you or persons in your household. Their cloth face covering helps protect you if they are infected but do not have symptoms.
Ask them to wash their hands with soap and water or, if unavailable, use hand sanitizer with at least 60% alcohol when they enter your home, before and after helping your child (dressing, bathing/showering, transferring, toileting and/or diapering, feeding), after handling tissues, and after changing linens or doing laundry. Learn more about proper handwashing.


Service providers and families should:

Routinely clean and disinfect frequently touched objects and surfaces (counters, tabletops, doorknobs, bathroom fixtures, toilets, phones, keyboards, tablets, bedside tables), and equipment such as wheelchairs, scooters, walkers, oxygen tanks and tubing, communication boards, and other assistive devices. Refer to CDC’s recommendations for Cleaning and Disinfecting Your Home.





","In addition to following the recommendations to prevent getting sick and running essential errands, families should take extra steps recommended for persons with higher risk of severe COVID-19 illness and steps outlined for those with potential COVID-19 exposure or confirmed illness",Children and Youth with Special Healthcare Needs,06/09/20
