,claim,label,source_label,source,date,claim_source,explanation,fact_check_url
25,"“[U.S. Rep. Conor Lamb] said he would NOT vote for [Nancy Pelosi] for Speaker, and did.”",false,pants-fire,Politifact,"May 25, 2020",Donald Trump,,https://politifact.com/factchecks/2020/may/27/donald-trump/trump-said-pa-rep-conor-lamb-backed-nancy-pelosi-h/
26,Texas and Florida have a “balanced budget” while California is “in debt $54 billion and New York is “in debt $6.1 billion.”,false,false,Politifact,"May 18, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/26/facebook-posts/facebook-post-gets-debt-wrong-comparison-florida-t/
27,"Amid the COVID-19 outbreak, “Minnesota now has the highest unemployment rate in U.S. history.”",false,barely-true,Politifact,"May 6, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/26/facebook-posts/minnesota-doesnt-have-highest-unemployment-rate-us/
28,“Children don’t seem to be getting this virus”,false,barely-true,Politifact,"April 28, 2020",Janel Brandtjen,,https://politifact.com/factchecks/2020/may/22/janel-brandtjen/yes-children-do-get-coronavirus-it-just-might-not-/
29,"“While California is dying … Gavin (Newsom) is vacationing in Stevensville, MT!”",false,false,Politifact,"May 18, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/22/facebook-posts/no-california-gov-gavin-newsom-hasnt-been-vacation/
30,“The COVID-19 future vaccine will come with the ID — a mark. The ID tells everyone you are free of COVID.”,false,false,Politifact,"April 11, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/22/facebook-posts/no-covid-19-vaccine-wouldnt-come-mark/
31,"Says if you're refused service at a store for not wearing a mask “call the department of health and report the store. Masks are suggested, not required.”",false,false,Politifact,"April 28, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/22/facebook-posts/post-falsely-claims-people-should-report-pennsylva/
32,“Italian Parliament Calls For The Arrest of Bill Gates”,false,false,Politifact,"May 15, 2020",Bloggers,,https://politifact.com/factchecks/2020/may/22/blog-posting/italian-government-doesnt-want-arrest-bill-gates/
33,A long list shows “new CDC guidelines for reopening schools.”,partly false,mostly-true,Politifact,"May 20, 2020",Viral image,,https://politifact.com/factchecks/2020/may/22/viral-image/cdc-has-new-suggestions-how-protect-students-and-s/
34,"Says Joni Ernst ""claims she ‘pushed for’ new funding for hospitals and COVID-19 testing after opposing It for weeks.”",not enough evidence,half-true,Politifact,"April 21, 2020",Iowa Democratic Party,,https://politifact.com/factchecks/2020/may/21/iowa-democratic-party/did-joni-ernst-flip-her-position-health-care-fundi/
35,"The U.S. had 44 CDC staffers “in China to observe what was going on. (President Trump) brought home the vast majority of them, I think left only four in place.”",not enough evidence,half-true,Politifact,"May 14, 2020",Joe Biden,,https://politifact.com/factchecks/2020/may/21/joe-biden/under-donald-trump-key-cdc-us-staff-china-fell-0/
36,"“If you have had a flu shot in the last 3-5 years, you will probably test positive” for COVID-19.",false,pants-fire,Politifact,"April 27, 2020",Viral image,,https://politifact.com/factchecks/2020/may/21/viral-image/flu-shots-arent-causing-false-positive-covid-19-te/
37,“80% of the people” want the option of vote by mail,not enough evidence,half-true,Politifact,"May 16, 2020",Amy Klobuchar,,https://politifact.com/factchecks/2020/may/21/amy-klobuchar/amid-pandemic-polls-show-support-voting-mail/
38,Says a warning label on a box of disposable masks shows that they are ineffective at protecting against the spread of COVID-19.,false,false,Politifact,"May 16, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/21/facebook-posts/disposable-homemade-masks-are-effective-stopping-a/
39,“Almost 75 percent of the deaths from COVID-19 in the state of Texas are a result of people contracting COVID-19 who are age 65 and older.”,partly false,mostly-true,Politifact,"May 5, 2020",Greg Abbott,,https://politifact.com/factchecks/2020/may/21/greg-abbott/how-many-coronavirus-deaths-are-people-over-65/
40,The novel coronavirus was “man-made.”,false,false,Politifact,"May 15, 2020",Kimberly Lightford,,https://politifact.com/factchecks/2020/may/21/kimberly-lightford/no-novel-coronavirus-was-not-man-made/
41,“Half the workforce in the country may have just been idled” by coronavirus.,false,barely-true,Politifact,"April 24, 2020",Dan Bishop,,https://politifact.com/factchecks/2020/may/20/dan-bishop/no-half-us-workforce-has-not-been-idled/
42,"“Due to the large number of people who will refuse the forthcoming COVID-19 vaccine because it will include tracking microchips, the Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips.”",false,false,Politifact,"May 13, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/20/facebook-posts/no-gates-foundation-isnt-pushing-microchips-all-me/
43,"“VA Democrats authorized for early release over 4,000 inmates, 60% of which are incarcerated for violent offenses.”",partly false,mostly-true,Politifact,"April 28, 2020",Nick Freitas,,https://politifact.com/factchecks/2020/may/20/nick-freitas/virginia-freeing-thousands-violent-inmates-early/
44,"“A lot of people can get an additional $2,400” from the CARES Act “and they can do it every month!”",false,barely-true,Politifact,"May 19, 2020",Instagram posts,,https://politifact.com/factchecks/2020/may/20/instagram-posts/new-york-radio-station-misleads-instagram-post-abo/
45,"“If you look at the one (hydroxychloroquine) survey, the only bad survey, they were giving it to people that were in very bad shape. They were very old. Almost dead.”",false,false,Politifact,"May 19, 2020",Donald Trump,,https://politifact.com/factchecks/2020/may/20/donald-trump/trump-wrong-hydroxychloroquine-studies-only-gave-d/
46,"If you paid rent in March or April, “they got to give” you your money back.",false,false,Politifact,"April 22, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/20/facebook-posts/no-theres-no-covid-19-law-requires-rent-or-mortgag/
47,“Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA”,false,false,Politifact,"May 15, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/20/facebook-posts/no-specific-covid-19-vaccine-experimental-or-other/
48,"""All Missouri businesses can open Monday, May 4, under our new Order as long as new guidelines are followed.""",false,barely-true,Politifact,"April 27, 2020",Mike Parson,,https://politifact.com/factchecks/2020/may/20/mike-parson/despite-parsons-claim-not-all-businesses-could-ope/
49,Says President Donald Trump is “morbidly obese.”,false,false,Politifact,"May 19, 2020",Nancy Pelosi,,https://politifact.com/factchecks/2020/may/19/nancy-pelosi/no-he-not-morbidly-obese/
50,"“Autopsies prove that COVID-19 is” a blood clot, not pneumonia, “and ought to be fought with antibiotics” and the whole world has been wrong in treating the “so-called” pandemic.",false,pants-fire,Politifact,"May 11, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/19/facebook-posts/no-covid-19-wont-respond-antibiotics-despite-findi/
51,“Gov. Wolf is not allowing companies that distribute U.S. flags to ship out orders to be placed at veteran’s graves for Memorial Day.”,partly false,mostly-true,Politifact,"May 11, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/19/facebook-posts/yes-pennsylvanias-governor-blocked-company-makes-a/
52,Says wearing face masks is more harmful to your health than going without one.,false,false,Politifact,"May 8, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/19/facebook-posts/theres-no-evidence-wearing-standard-masks-harmful-/
53,"""States like New York, Illinois and California have been vocal in their demands for funding to bail out their pension systems, which were failing long before the COVID-19 outbreak, and other programs that aren’t related to this crisis.""",false,false,Politifact,"May 7, 2020",Andy Biggs,,https://politifact.com/factchecks/2020/may/19/andy-biggs/new-york-pension-fund-does-not-need-federal-bailou/
54,Dr. Fauci says every American should be microchipped.,false,false,Politifact,"May 15, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/19/facebook-posts/dr-fauci-didnt-say-americans-should-be-microchippe/
55,Says kitchen worker in viral video is potentially spreading coronavirus by blowing into food containers.,false,false,Politifact,"March 14, 2020",Viral image,,https://politifact.com/factchecks/2020/may/19/viral-image/video-kitchen-worker-blowing-food-wrappers-least-t/
56,"If masks prevent coronavirus, governors would have given them to prison inmates instead of releasing them.",false,false,Politifact,"May 14, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/19/facebook-posts/states-do-use-masks-contain-covid-19-prisons/
57,Anthony Fauci was on the Clinton Foundation board for 20 years and “currently serves on Gates Foundation.”,false,false,Politifact,"May 12, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/19/facebook-posts/no-fauci-wasnt-clinton-foundation-board-two-decade/
58,“Bill Gates admits his COVID-19 vaccine might kill nearly 1 million people.”,false,pants-fire,Politifact,"April 30, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/19/facebook-posts/bill-gates-did-not-say-covid-19-vaccine-could-kill/
59,“Hydroxychloroquine cures this ‘virus.’ It just so happens this is the treatment used for radiation sickness!!”,false,false,Politifact,"May 14, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/19/facebook-posts/hydroxychloroquine-not-proven-treat-covid-19-or-ra/
60,"Hospitals get paid $750 for patients who die from the flu, $17,500 for COVID-19.",false,false,Politifact,"April 27, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/18/facebook-posts/no-there-arent-set-amounts-hospitals-are-paid-deat/
61,"“Pelosi’s new coronavirus bill allows illegals to receive billions in relief funds in past, current, and future payments.”",partly false,mostly-true,Politifact,"May 12, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/18/facebook-posts/house-coronavirus-bill-would-aid-immigrants-relati/
62,"“Cannabis may stop coronavirus from infecting people, study finds.”",false,barely-true,Politifact,"May 14, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/18/facebook-posts/fact-checking-whether-cannabis-may-prevent-covid-1/
63,"""Bill Gates worked to end livestock production, and is pushing lab grown meat.""",not enough evidence,half-true,Politifact,"May 4, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/18/facebook-posts/what-bill-gates-has-do-livestock-lab-grown-meat/
64,"Says only certain face masks are effective and others, such as cloth masks, are not.",false,false,Politifact,"April 2, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/18/facebook-posts/face-masks-including-homemade-ones-are-effective-c/
65,"Nancy Pelosi said, “if you accept a check from Trump, you might as well vote for him.”",false,false,Politifact,"April 15, 2020",Viral image,,https://politifact.com/factchecks/2020/may/18/viral-image/nancy-pelosi-didnt-say-accepting-check-trump-means/
66,"“Beachgoers trash Florida beaches with 13,000 pounds of litter after beaches reopen.”",partly false,mostly-true,Politifact,"May 12, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/18/facebook-posts/reopened-florida-beach-leads-more-trash/
67,Says Wisconsin has not had a spike in coronavirus cases that was “statistically significant related to the fact that they had voting.”,partly false,mostly-true,Politifact,"May 6, 2020",Chip Roy,,https://politifact.com/factchecks/2020/may/18/chip-roy/no-spike-tied-voting-data-leaves-questions/
68,“You have areas of Pennsylvania that are barely affected and [the governor wants] to keep them closed.”,not enough evidence,half-true,Politifact,"May 14, 2020",Donald Trump,,https://politifact.com/factchecks/2020/may/18/donald-trump/fact-checking-trumps-claim-gov-tom-wolf-keeping-pa/
69,Says Gov Tony Evers’ administration deemed dentists non-essential,false,false,Politifact,"May 12, 2020",Janel Brandtjen,,https://politifact.com/factchecks/2020/may/15/janel-brandtjen/yes-dentists-were-essential-under-wisconsins-safer/
70,"$100B contact tracing bill “is about controlling/tracking population, not about coronavirus.”",false,false,Politifact,"May 12, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/15/facebook-posts/claim-federal-contact-tracing-bill-not-covid-19-fa/
71,"“It’s not that there’s a virus shield between Canada (4,500 deaths) and the U.S. (80,000 deaths). What exists is a difference in leadership.”",not enough evidence,half-true,Politifact,"May 9, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/15/facebook-posts/fact-checking-why-us-has-more-covid-19-deaths-cana/
72,"“Since the reopening of (Georgia), we’ve seen our COVID rate skyrocket by 40%.”",false,false,Politifact,"May 7, 2020",Stacey Abrams,,https://politifact.com/factchecks/2020/may/15/stacey-abrams/stacey-abrams-gets-georgias-reopening-covid-19-tre/
73,"“Clearly, the Obama administration did not leave any kind of game plan for something like this.”",false,pants-fire,Politifact,"May 11, 2020",Mitch McConnell,,https://politifact.com/factchecks/2020/may/14/mitch-mcconnell/evidence-counters-mcconnell-claim-obama-team-left-/
74,"""93% of the (COVID-19) cases in the state of Illinois have come from Chicago.""",false,false,Politifact,"May 1, 2020",Darin LaHood,,https://politifact.com/factchecks/2020/may/14/darin-lahood/lahood-overstates-chicagos-share-illinois-covid-19/
75,Gates Foundation stands to make nearly £31.5 billion on a coronavirus vaccine in U.K.,false,false,Politifact,"May 6, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/14/facebook-posts/no-evidence-gates-foundation-will-profit-coronavir/
76,"$3 trillion for federal coronavirus stimulus packages is ""being borrowed basically from China.""",false,false,Politifact,"May 6, 2020",Rand Paul,,https://politifact.com/factchecks/2020/may/14/rand-paul/no-us-isnt-expected-borrow-heavily-china-pay-covid/
77,“It’s not the coronavirus that’s killing people. It is the economy.”,false,false,Politifact,"April 23, 2020",Bloggers,,https://politifact.com/factchecks/2020/may/14/blog-posting/false-tiktok-claim-high-unemployment-killing-more-/
78,"“Guess what, [children are] not at risk unless they have an underlying medical issue.”",false,false,Politifact,"May 9, 2020",Mike Turzai,,https://politifact.com/factchecks/2020/may/14/mike-turzai/pa-house-speaker-says-coronavirus-only-threatens-c/
79,"“Germany and the United States are the two best in deaths per 100,000 people, which, frankly, to me, that's perhaps the most important number there is.”",false,false,Politifact,"May 11, 2020",Donald Trump,,https://politifact.com/factchecks/2020/may/13/donald-trump/trumps-claim-covid-deaths-us-are-par-germanys-does/
80,"Says President Donald Trump implemented “a travel ban that just didn't work, 400,000 people got in from those countries that were subject to the restrictions.”",false,false,Politifact,"May 11, 2020",Chris Murphy,,https://politifact.com/factchecks/2020/may/13/chris-murphy/sen-chris-murphy-overstates-travel-china-after-tru/
81,"New York City could pay to house its homeless population in hotel rooms currently sitting vacant, but Mayor Bill de Blasio “has absolutely to this point refused to do that.”",partly false,mostly-true,Politifact,"April 8, 2020",Coalition for the Homeless,,https://politifact.com/factchecks/2020/may/13/coalition-homeless/fact-checking-claim-about-hotel-rooms-and-homeless/
82,Says gloves shouldn’t be worn in public because “if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.”,true,true,Politifact,"May 5, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/13/facebook-posts/not-better-wearing-gloves-public-coronavirus/
83,“Nearly half of (Missouri) counties have not reported positive (COVID-19) cases.”,false,false,Politifact,"April 21, 2020",Louis Riggs,,https://politifact.com/factchecks/2020/may/13/louis-riggs/riggs-needed-more-digging-missouri-counties-covid-/
84,"Under an 1866 Supreme Court ruling, stay-at-home orders are illegal and can be disregarded with impunity",false,pants-fire,Politifact,"May 9, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/13/facebook-posts/no-s-not-us-supreme-court-ruling/
85,"Young people ""have a greater chance of being killed by the HPV vaccine than COVID-19.”",false,pants-fire,Politifact,"April 28, 2020",Jeff Shipley,,https://politifact.com/factchecks/2020/may/12/jeff-shipley/covid-19-vs-hpv-vaccine-covid-more-deadly/
86,"""Mitch McConnell said he wanted states to go bankrupt instead of the federal government providing relief. Today, Thom Tillis agreed.""",false,barely-true,Politifact,"April 24, 2020",Cal Cunningham,,https://politifact.com/factchecks/2020/may/12/cal-cunningham/nc-democrat-misrepresents-tillis-position-aid-stat/
87,“The CDC has recommended mail in voting. That’s what this whole pandemic is about: the election!”,false,barely-true,Politifact,"May 7, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/12/facebook-posts/mail-voting-amid-covid-19-among-options-recommende/
88,"Says Dr. Anthony Fauci's name appears on ""4 U.S. patents for a key glycoprotein” used to “create the current COVID-19 epidemic.”",false,false,Politifact,"April 28, 2020",Jerome R. Corsi,,https://politifact.com/factchecks/2020/may/12/jerome-corsi/conspiracy-theorist-spreads-false-claim-about-fauc/
89,“The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.”,false,pants-fire,Politifact,"on May 8,",One America News,,https://politifact.com/factchecks/2020/may/12/one-america-news/mainstream-media-surge-COVID-Wisconsin-election/
90,Technology coming to Virginia allows COVID-19 personal protection equipment to be “decontaminated and reused 20 times without degrading performance.”,not enough evidence,half-true,Politifact,"May 1, 2020",Ralph Northam,,https://politifact.com/factchecks/2020/may/12/ralph-northam/can-n95-masks-be-sterilized-20-times-no-degradatio/
91,Barack Obama “is the first ex-president to ever speak against his successor.”,false,false,Politifact,"May 10, 2020",Tweets,,https://politifact.com/factchecks/2020/may/11/tweets/obama-isnt-first-ex-president-speak-ill-his-succes/
92,“Dr. Fauci sat on Microsoft’s board of directors.”,false,false,Politifact,"May 7, 2020",Viral image,,https://politifact.com/factchecks/2020/may/11/viral-image/no-anthony-fauci-wasnt-microsofts-board-directors/
93,"Regarding the risks of coronavirus transmission on an airplane, “It’s as safe as an environment as you’re going to find.”",false,barely-true,Politifact,"May 3, 2020",Gary Kelly,,https://politifact.com/factchecks/2020/may/11/gary-kelly/southwest-ceos-boast-about-airplanes-low-covid-ris/
94,Black cats in Vietnam are being killed and consumed as a COVID-19 cure.,false,false,Politifact,"April 24, 2020",South West News Service,,https://politifact.com/factchecks/2020/may/08/south-west-news-service/Evidence-lacking-that-cats-eaten-as-COVID-19-cure/
95,Georgia Gov. Brian Kemp “mandates restaurants reopen”,false,false,Politifact,"April 29, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/08/facebook-posts/worries-restaurant-owners-are-real-post-saying-geo/
96,Central Park hospital tents housed thousands of abused children released from underground captivity.,false,pants-fire,Politifact,"May 3, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/08/facebook-posts/central-park-field-hospital-treated-coronavirus-pa/
97,“New autopsy reports suggest Jeffrey Epstein most likely died from COVID-19 complications.”,false,false,Politifact,"April 20, 2020",Viral image,,https://politifact.com/factchecks/2020/may/08/viral-image/theres-no-new-autopsy-report-linking-jeffrey-epste/
98,Says Mike Pence was caught on a hot mic delivering empty boxes of PPE to a nursing home and pretended they were heavy.,false,false,Politifact,"May 8, 2020",Bloggers,,https://politifact.com/factchecks/2020/may/08/blog-posting/mike-pence-didnt-pretend-carry-empty-boxes-ppe-cli/
99,A photo shows Brian Kemp posing with Gregory McMichael.,false,false,Politifact,"May 6, 2020",Viral image,,https://politifact.com/factchecks/2020/may/08/viral-image/no-isnt-photo-brian-kemp-and-gregory-mcmichael/
100,“Texas ranks 3rd highest among states for the number of people who have recovered from” the coronavirus.,not enough evidence,half-true,Politifact,"May 3, 2020",Greg Abbott,,https://politifact.com/factchecks/2020/may/08/greg-abbott/recovery-data-coronavirus-lacking/
101,"North Carolina’s health department is ""telling hospitals that if they decide to do elective surgeries, they won’t be eligible to receive (protective equipment) from the state.”",false,false,Politifact,"April 23, 2020",Warren Daniel,,https://politifact.com/factchecks/2020/may/08/warren-daniel/no-evidence-mandy-cohen-threatened-withhold-ppe-nc/
102,“So 2 doctors from Bakersfield discover that coronavirus mortality rate is 0.03%. 13x less deadly than what was previously thought! Their analysis has since been banned from YouTube.”,false,barely-true,Politifact,"April 28, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/07/facebook-posts/facebook-post-cites-doctors-widely-disputed-calcul/
103,"Under the mayor’s COVID-19 order, Kansas City “churchgoers must register with the government.”",false,barely-true,Politifact,"May 1, 2020",Liberty Counsel,,https://politifact.com/factchecks/2020/may/07/liberty-counsel/no-churchgoers-dont-have-register-government/
104,Says the current survival rate for COVID-19 in the U.S. is “98.54%”,not enough evidence,half-true,Politifact,"April 14, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/07/facebook-posts/facebook-post-shares-flawed-covid-19-survival-stat/
105,“Immigrants make up a majority of essential workers in places like New York City.”,partly false,mostly-true,Politifact,"April 21, 2020",Kirsten Gillibrand,,https://politifact.com/factchecks/2020/may/07/kirsten-gillibrand/do-immigrants-make-majority-essential-workers-new-/
106,"Media outlets reported that the same boy died 3 times from the coronavirus, in 3 countries.",false,pants-fire,Politifact,"April 14, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/07/facebook-posts/news-outlets-did-not-use-photo-same-boy-report-3-c/
107,A photo shows Rob Cantrall at a recent Michigan protest.,false,false,Politifact,"May 4, 2020",Viral image,,https://politifact.com/factchecks/2020/may/07/viral-image/michigan-protest-photo-shows-brian-cash-not-rob-ca/
108,"Gas is under $1 in 13 states, but $2.27 in Pennsylvania, because of the governor.",false,barely-true,Politifact,"May 2, 2020",Facebook posts,,https://politifact.com/factchecks/2020/may/07/facebook-posts/cant-blame-governor-high-pennsylvania-gas-prices/
109,"""Trump bailed out Wall Street, but not Main Street.""",false,false,Politifact,"on May 5,",Lincoln Project,,https://politifact.com/factchecks/2020/may/07/lincoln-project/mourning-america-ad-critical-trump-misleads-bailou/
110,Models projecting COVID-19 deaths “are talking about without mitigation.”,false,false,Politifact,"May 5, 2020",Donald Trump,,https://politifact.com/factchecks/2020/may/06/donald-trump/trump-wrong-covid-19-death-projections-omit-mitiga/
111,"""We’ve still had more deaths to the flu this year than we've had COVID-19.""",false,false,Politifact,"April 24, 2020",Dan Forest,,https://politifact.com/factchecks/2020/may/06/dan-forest/no-flu-hasnt-killed-more-people-coronavirus/
112,"""There was no real scientific basis for believing that"" social distancing would be necessary, ""since it had never been studied.""",false,false,Politifact,"May 4, 2020",Laura Ingraham,,https://politifact.com/factchecks/2020/may/06/laura-ingraham/laura-ingraham-wrong-about-no-real-scientific-basi/
